,MAE,MAPE%,MSE,MAE std,MAPE% std,MSE std
0,0.0037197837733078365,1.426701730828015,5.494572040675085e-05,0.001721457198937185,0.6573878016017093,5.285043093860904e-05
1,0.0026784316203406896,2.480859526881576,2.3687124438444966e-05,0.0007455673189626889,0.7992981276590428,2.0900078322742765e-05
2,0.003590731491650298,0.07616564630010052,4.077879813026917e-05,0.0010763994326618035,0.022852696421211637,3.003201377945644e-05
3,0.007160192614579214,2.776083877290018,0.00015693399598126447,0.0010620591499584551,0.4069163939073755,3.019817857617142e-05
4,0.0034830531191702542,85.26201217439551,3.677858423366668e-05,0.0002972194773101571,11.36952645146558,1.1943466285378697e-05
5,0.005977011304807161,1.9713713547173213,0.00016749349317271808,0.0006212279260879093,0.19858177413218886,4.465524492179379e-05
6,0.0013230419534065703,0.0643393750690938,3.0245636931324676e-06,0.0001854042271636575,0.009016889063358869,6.913993880410155e-07
7,0.006382468584730678,1.7315648417160037,0.0001652781820256624,0.0013678990582737735,0.37439035859792363,7.358582621318032e-05
8,0.003390864975477677,0.04829278144685506,2.853014907141746e-05,0.0002887571780090314,0.004112362472539729,6.322139510720788e-06
9,0.010351135130825048,0.3474061076800806,0.00046224292339049533,0.004571164797607554,0.15377783543021112,0.000397070074294536
